id	cufflinks_ath_buds_rep1
AT1G05290	1.12055
AT1G05291	0.141724
AT1G05300	2.5018
AT1G05310	4.43054
AT1G05320	17.7541
AT1G05330	3.49292
AT1G05340	22.9647
AT1G05350	22.5211
AT1G05360	18.5627
AT1G05370	1.62015
AT1G05380	19.94
AT1G05385	23.1181
AT1G05390	0
AT1G05400	5.50394
AT1G05410	16.9114
AT1G05420	10.3486
AT1G05430	26.8474
AT1G05440	8.03655
AT1G05450	34.9471
AT1G05460	15.0095
AT1G05470	9.07172
AT1G05490	22.2403
AT1G05500	33.7927
AT1G05510	0.190134
AT1G05520	24.8114
AT1G05530	0.0634222
AT1G05540	12.3254
AT1G05550	9.8411
AT1G05560	24.0425
AT1G05562	5.12082
AT1G05570	20.2941
AT1G05575	3.7638
AT1G05577	2.55973
AT1G05580	30.3596
AT1G05590	14.4508
AT1G05600	7.731
AT1G05610	1.69794
AT1G05615	0
AT1G05620	23.5999
AT1G05630	11.1195
AT1G05640	5.97874
AT1G05650	0
AT1G05660	0
AT1G05670	3.45642
AT1G05675	0.801914
AT1G05680	16.2954
AT1G05690	2.0794
AT1G05700	0.0941088
AT1G05710	25.3208
AT1G05720	53.8965
AT1G05730	5.67381
AT1G05740	0
AT1G05750	5.29081
AT1G05760	6.95436
AT1G05770	1.76461
AT1G05780	11.7835
AT1G05785	11.1973
AT1G05790	17.1033
AT1G05800	0.121828
AT1G05805	30.8373
AT1G05810	12.7896
AT1G05820	5.4494
AT1G05830	15.1729
AT1G05835	64.9715
AT1G05840	25.0035
AT1G05850	364.409
AT1G05860	11.769
AT1G05870	32.792
AT1G05880	0
AT1G05890	35.3858
AT1G05894	0.688956
AT1G05900	7.53869
AT1G05910	14.7958
AT1G05920	0.463989
AT1G05925	0
AT1G05930	0.587788
AT1G05940	21.7229
AT1G05950	10.3693
AT1G05960	23.6506
AT1G05970	19.1731
AT1G05980	0
AT1G05990	0.37754
AT1G06000	41.682
AT1G06002	24.6187
AT1G06010	40.1716
AT1G06020	1.32703
AT1G06030	0.722447
AT1G06040	124.897
AT1G06050	7.58481
AT1G06060	21.2136
AT1G06070	23.5741
AT1G06080	21.2127
AT1G06090	2.70669
AT1G06100	0.317907
AT1G06110	34.1502
AT1G06120	0
AT1G06130	23.2084
AT1G06135	0
AT1G06137	0
AT1G06140	2.10556
AT1G06148	0.175259
AT1G06149	15.6132
AT1G06150	2.44875
AT1G06160	0.405842
AT1G06170	5.19517
AT1G06180	12.0845
AT1G06190	59.8866
AT1G06200	53.9831
AT1G06210	41.0654
AT1G06220	27.2251
AT1G06225	0
AT1G06230	51.1253
AT1G06240	10.1091
